id,gene_id,transcript_type,Class,prob
ENST00000471106.3,ENSG00000155367.13,nonsense_mediated_decay,nonsense_mediated_decay,0.989760911071845
ENST00000517776.3,ENSG00000036565.12,nonsense_mediated_decay,nonsense_mediated_decay,0.980298935751513
ENST00000526962.1,ENSG00000166405.12,nonsense_mediated_decay,nonsense_mediated_decay,0.196955831431356
ENST00000571673.1,ENSG00000132530.14,nonsense_mediated_decay,nonsense_mediated_decay,0.144946841025265
ENST00000413697.3,ENSG00000135945.7,nonsense_mediated_decay,nonsense_mediated_decay,0.911128540519535
ENST00000498274.3,ENSG00000081154.9,nonsense_mediated_decay,nonsense_mediated_decay,0.709877918667081
ENST00000484069.1,ENSG00000001497.14,nonsense_mediated_decay,nonsense_mediated_decay,0.975479210311103
ENST00000377840.4,ENSG00000196092.10,nonsense_mediated_decay,nonsense_mediated_decay,0.964378857859637
ENST00000518883.4,ENSG00000165046.10,nonsense_mediated_decay,nonsense_mediated_decay,0.882037712528172
ENST00000458117.3,ENSG00000256053.5,nonsense_mediated_decay,nonsense_mediated_decay,0.927573775086765
ENST00000478113.1,ENSG00000129007.12,nonsense_mediated_decay,nonsense_mediated_decay,0.0551324664899538
ENST00000437362.4,ENSG00000132780.14,nonsense_mediated_decay,nonsense_mediated_decay,0.456623720357502
ENST00000425608.3,ENSG00000004534.12,nonsense_mediated_decay,nonsense_mediated_decay,0.861789553604062
ENST00000558357.3,ENSG00000128908.13,nonsense_mediated_decay,nonsense_mediated_decay,0.965656296226496
ENST00000389576.4,ENSG00000167419.8,nonsense_mediated_decay,nonsense_mediated_decay,0.849875959956581
ENST00000464640.3,ENSG00000124222.19,nonsense_mediated_decay,nonsense_mediated_decay,0.910743709951341
ENST00000521082.3,ENSG00000122550.15,nonsense_mediated_decay,nonsense_mediated_decay,0.535246601886507
ENST00000440349.3,ENSG00000128573.20,nonsense_mediated_decay,nonsense_mediated_decay,0.955741287124676
ENST00000522066.3,ENSG00000204764.10,nonsense_mediated_decay,nonsense_mediated_decay,0.96798734056167
ENST00000395463.2,ENSG00000129007.12,nonsense_mediated_decay,nonsense_mediated_decay,0.335060064911549
ENST00000615951.2,ENSG00000248333.5,nonsense_mediated_decay,nonsense_mediated_decay,0.891696932676816
ENST00000574699.1,ENSG00000006327.11,nonsense_mediated_decay,nonsense_mediated_decay,0.92000930877336
ENST00000434228.3,ENSG00000198000.9,nonsense_mediated_decay,nonsense_mediated_decay,0.719079338897516
ENST00000558960.1,ENSG00000140470.11,nonsense_mediated_decay,nonsense_mediated_decay,0.890604127052157
ENST00000421355.1,ENSG00000248643.5,nonsense_mediated_decay,nonsense_mediated_decay,0.21535087143789
ENST00000469707.3,ENSG00000139793.16,nonsense_mediated_decay,nonsense_mediated_decay,0.982885971815982
ENST00000589215.3,ENSG00000141452.7,nonsense_mediated_decay,nonsense_mediated_decay,0.785218978743171
ENST00000557924.3,ENSG00000137776.14,nonsense_mediated_decay,nonsense_mediated_decay,0.876649208122066
ENST00000607388.1,ENSG00000197498.10,nonsense_mediated_decay,nonsense_mediated_decay,0.191837801690723
ENST00000531487.1,ENSG00000255561.4,nonsense_mediated_decay,nonsense_mediated_decay,0.213744294273264
ENST00000435068.3,ENSG00000122678.12,nonsense_mediated_decay,nonsense_mediated_decay,0.873192694476982
ENST00000552321.2,ENSG00000219200.8,nonsense_mediated_decay,nonsense_mediated_decay,0.346930887922247
ENST00000536346.3,ENSG00000111247.12,nonsense_mediated_decay,nonsense_mediated_decay,0.689267351883017
ENST00000468982.3,ENSG00000177398.16,nonsense_mediated_decay,nonsense_mediated_decay,0.472809099686971
ENST00000479770.1,ENSG00000150455.11,nonsense_mediated_decay,nonsense_mediated_decay,0.836298651821456
ENST00000438680.1,ENSG00000115514.9,nonsense_mediated_decay,nonsense_mediated_decay,0.872929681948791
ENST00000414734.3,ENSG00000214706.8,nonsense_mediated_decay,nonsense_mediated_decay,0.985534663934504
ENST00000574110.3,ENSG00000105176.15,nonsense_mediated_decay,nonsense_mediated_decay,0.249723786308473
ENST00000421046.3,ENSG00000183696.11,nonsense_mediated_decay,nonsense_mediated_decay,0.707391328336799
ENST00000437122.1,ENSG00000099992.13,nonsense_mediated_decay,nonsense_mediated_decay,0.739035767440137
ENST00000553237.3,ENSG00000135446.14,nonsense_mediated_decay,nonsense_mediated_decay,0.7896654750122
ENST00000515800.4,ENSG00000145715.12,nonsense_mediated_decay,nonsense_mediated_decay,0.972193409485945
ENST00000360124.7,ENSG00000100197.18,nonsense_mediated_decay,nonsense_mediated_decay,0.852080088459716
ENST00000563607.1,ENSG00000156873.13,nonsense_mediated_decay,nonsense_mediated_decay,0.957740458635788
ENST00000389262.6,ENSG00000070413.16,nonsense_mediated_decay,nonsense_mediated_decay,0.600611211099015
ENST00000321374.7,ENSG00000140481.11,nonsense_mediated_decay,nonsense_mediated_decay,0.890260828450264
ENST00000461737.3,ENSG00000102882.9,nonsense_mediated_decay,nonsense_mediated_decay,0.934073673672384
ENST00000527709.3,ENSG00000147654.12,nonsense_mediated_decay,nonsense_mediated_decay,0.958285624474487
ENST00000379152.5,ENSG00000103064.11,nonsense_mediated_decay,nonsense_mediated_decay,0.982100299949743
ENST00000510026.3,ENSG00000172262.9,nonsense_mediated_decay,nonsense_mediated_decay,0.59136792057134
ENST00000320982.3,ENSG00000133488.12,nonsense_mediated_decay,nonsense_mediated_decay,0.305650076481227
ENST00000586955.3,ENSG00000132024.15,nonsense_mediated_decay,nonsense_mediated_decay,0.817157635059787
ENST00000590088.3,ENSG00000167384.8,nonsense_mediated_decay,nonsense_mediated_decay,0.177350011532489
ENST00000621870.2,ENSG00000125447.14,nonsense_mediated_decay,nonsense_mediated_decay,0.265622045785483
ENST00000424847.4,ENSG00000137274.10,nonsense_mediated_decay,nonsense_mediated_decay,0.670360173875647
ENST00000562381.5,ENSG00000132600.14,nonsense_mediated_decay,nonsense_mediated_decay,0.455961567367575
ENST00000432789.1,ENSG00000100413.14,nonsense_mediated_decay,nonsense_mediated_decay,0.974542245706645
ENST00000423776.1,ENSG00000106113.16,nonsense_mediated_decay,nonsense_mediated_decay,0.912531469714154
ENST00000464622.3,ENSG00000146350.11,nonsense_mediated_decay,nonsense_mediated_decay,0.984317045300783
ENST00000495305.3,ENSG00000133606.8,nonsense_mediated_decay,nonsense_mediated_decay,0.715483602513553
