id,gene_id,transcript_type,Class,prob
ENST00000558084.3,ENSG00000055609.15,nonsense_mediated_decay,nonsense_mediated_decay,0.0773264204959626
ENST00000360184.6,ENSG00000197102.8,protein_coding,not_nmd,0.0900250739125069
ENST00000620676.2,ENSG00000048707.11,protein_coding,not_nmd,0.0251012872971133
ENST00000452508.4,ENSG00000149311.15,protein_coding,not_nmd,0.0654671001725679
ENST00000510413.3,ENSG00000198589.8,protein_coding,not_nmd,0.315914906106941
ENST00000613979.2,ENSG00000146839.16,protein_coding,not_nmd,0.158523117097979
ENST00000600128.3,ENSG00000142449.10,protein_coding,not_nmd,0.458851664197297
ENST00000357086.6,ENSG00000150995.15,protein_coding,not_nmd,0.125816982178331
ENST00000369856.5,ENSG00000196924.12,protein_coding,not_nmd,0.0363869992036131
ENST00000354785.6,ENSG00000115414.16,protein_coding,not_nmd,0.271007109638224
ENST00000382483.3,ENSG00000183638.5,protein_coding,not_nmd,0.0581934855827929
ENST00000330838.8,ENSG00000132466.15,protein_coding,not_nmd,0.0555897306596159
ENST00000304992.8,ENSG00000174231.14,protein_coding,not_nmd,0.146542153609853
ENST00000556626.3,ENSG00000070182.15,protein_coding,not_nmd,0.0385570735399606
ENST00000512070.4,ENSG00000038382.15,nonsense_mediated_decay,nonsense_mediated_decay,0.955187718100442
ENST00000409592.5,ENSG00000135905.16,protein_coding,not_nmd,0.112559010540345
ENST00000294618.9,ENSG00000130158.11,protein_coding,not_nmd,0.0906149515356209
ENST00000310441.9,ENSG00000172534.11,protein_coding,not_nmd,0.433409515968344
ENST00000509876.3,ENSG00000118482.9,nonsense_mediated_decay,nonsense_mediated_decay,0.62531436174847
ENST00000396105.3,ENSG00000124201.12,protein_coding,not_nmd,0.0417973112379548
ENST00000552994.3,ENSG00000133858.13,nonsense_mediated_decay,nonsense_mediated_decay,0.878935983824655
ENST00000297267.11,ENSG00000164694.14,protein_coding,not_nmd,0.0976310710482976
ENST00000289734.9,ENSG00000029534.17,protein_coding,not_nmd,0.279919220747691
ENST00000509849.3,ENSG00000197603.11,nonsense_mediated_decay,nonsense_mediated_decay,0.969030433279088
ENST00000481478.1,ENSG00000157388.11,protein_coding,not_nmd,0.198652725736127
ENST00000200181.5,ENSG00000132470.11,protein_coding,not_nmd,0.109685962481988
ENST00000373850.3,ENSG00000119397.14,protein_coding,not_nmd,0.0860018155232935
ENST00000527272.1,ENSG00000134909.16,protein_coding,not_nmd,0.0251480881264401
ENST00000539302.3,ENSG00000133454.13,nonsense_mediated_decay,nonsense_mediated_decay,0.796315787695717
ENST00000262519.10,ENSG00000099381.14,protein_coding,not_nmd,0.351913069242408
ENST00000528919.3,ENSG00000179832.15,protein_coding,not_nmd,0.0826856688355161
ENST00000359526.6,ENSG00000130816.12,protein_coding,not_nmd,0.289440879234448
ENST00000435706.4,ENSG00000077097.11,protein_coding,not_nmd,0.139794791685001
ENST00000380913.5,ENSG00000146950.10,protein_coding,not_nmd,0.0360635614410316
ENST00000352767.5,ENSG00000114867.17,protein_coding,not_nmd,0.166229681909547
ENST00000530254.4,ENSG00000196535.12,nonsense_mediated_decay,nonsense_mediated_decay,0.34722494059058
ENST00000361040.7,ENSG00000116580.16,protein_coding,not_nmd,0.0286298065568871
ENST00000298694.6,ENSG00000165801.7,protein_coding,not_nmd,0.250831382594245
ENST00000558768.3,ENSG00000134160.11,protein_coding,not_nmd,0.089869295943735
ENST00000602307.3,ENSG00000076201.12,nonsense_mediated_decay,nonsense_mediated_decay,0.705592844306628
ENST00000609686.2,ENSG00000273079.2,protein_coding,not_nmd,0.0500961950941213
ENST00000252804.6,ENSG00000130508.8,protein_coding,not_nmd,0.0349674420802662
ENST00000572272.3,ENSG00000091592.13,protein_coding,not_nmd,0.0784813055689989
ENST00000287647.5,ENSG00000144554.8,protein_coding,not_nmd,0.0597661958266755
ENST00000376451.4,ENSG00000120549.13,protein_coding,not_nmd,0.0424214152109936
ENST00000553957.3,ENSG00000092148.10,protein_coding,not_nmd,0.101581630674398
ENST00000283351.6,ENSG00000153339.11,protein_coding,not_nmd,0.096174442480744
ENST00000322954.8,ENSG00000137831.12,protein_coding,not_nmd,0.199972205445405
ENST00000409503.3,ENSG00000143442.19,protein_coding,not_nmd,0.029908740062694
ENST00000610343.2,ENSG00000121741.14,protein_coding,not_nmd,0.0268687131797424
ENST00000577880.3,ENSG00000101596.12,nonsense_mediated_decay,nonsense_mediated_decay,0.965556018238079
ENST00000383710.6,ENSG00000163618.15,protein_coding,not_nmd,0.194505293837994
ENST00000284483.10,ENSG00000154310.14,protein_coding,not_nmd,0.0942615161427546
ENST00000542749.3,ENSG00000090975.10,protein_coding,not_nmd,0.0143433132941432
ENST00000404525.3,ENSG00000049323.13,protein_coding,not_nmd,0.0583959355320413
ENST00000282397.6,ENSG00000102755.8,protein_coding,not_nmd,0.118613382537584
ENST00000303538.10,ENSG00000121892.12,protein_coding,not_nmd,0.395031525634822
ENST00000438103.4,ENSG00000064932.13,protein_coding,not_nmd,0.0949474525572938
ENST00000334204.4,ENSG00000165115.12,protein_coding,not_nmd,0.102402977690088
ENST00000452576.4,ENSG00000146530.9,nonsense_mediated_decay,nonsense_mediated_decay,0.969643068118333
ENST00000460047.3,ENSG00000154310.14,protein_coding,not_nmd,0.0942615161427546
ENST00000297668.8,ENSG00000106714.15,protein_coding,not_nmd,0.0177092771570124
ENST00000540872.3,ENSG00000172661.15,protein_coding,not_nmd,0.0523933487096065
ENST00000395542.4,ENSG00000106078.15,protein_coding,not_nmd,0.0760967942914735
ENST00000515682.3,ENSG00000125089.14,nonsense_mediated_decay,nonsense_mediated_decay,0.323626591451866
ENST00000367467.5,ENSG00000111961.14,protein_coding,not_nmd,0.194784521464825
ENST00000399425.4,ENSG00000198795.8,nonsense_mediated_decay,nonsense_mediated_decay,0.909425758768712
ENST00000268124.7,ENSG00000140521.9,protein_coding,not_nmd,0.212154372530862
ENST00000495910.4,ENSG00000196712.14,nonsense_mediated_decay,nonsense_mediated_decay,0.117125397215159
ENST00000355972.6,ENSG00000101040.17,protein_coding,not_nmd,0.161278938541466
ENST00000265171.7,ENSG00000138798.9,protein_coding,not_nmd,0.180882959752595
ENST00000271636.9,ENSG00000143375.12,protein_coding,not_nmd,0.0453939418979241
ENST00000374787.5,ENSG00000136824.16,protein_coding,not_nmd,0.547380966021701
ENST00000539609.5,ENSG00000169554.14,protein_coding,not_nmd,0.0818553238320654
ENST00000556564.3,ENSG00000070778.10,protein_coding,not_nmd,0.088356419093637
ENST00000395745.4,ENSG00000132153.12,nonsense_mediated_decay,nonsense_mediated_decay,0.277261769154424
ENST00000421364.3,ENSG00000054267.18,nonsense_mediated_decay,nonsense_mediated_decay,0.966875638242531
ENST00000287497.10,ENSG00000169896.14,protein_coding,not_nmd,0.11666541141085
ENST00000560611.3,ENSG00000140199.9,protein_coding,not_nmd,0.0672809887074585
ENST00000375604.4,ENSG00000126217.18,protein_coding,not_nmd,0.0425958058693541
ENST00000376350.5,ENSG00000080031.7,protein_coding,not_nmd,0.0370795663349528
ENST00000413697.3,ENSG00000135945.7,nonsense_mediated_decay,nonsense_mediated_decay,0.886321036087549
ENST00000426576.3,ENSG00000115355.13,protein_coding,not_nmd,0.302476702737209
ENST00000558357.3,ENSG00000128908.13,nonsense_mediated_decay,nonsense_mediated_decay,0.960814646700116
ENST00000575225.3,ENSG00000103226.15,nonsense_mediated_decay,nonsense_mediated_decay,0.50131883118811
ENST00000455089.3,ENSG00000146648.13,protein_coding,not_nmd,0.251617914234613
ENST00000378617.3,ENSG00000165282.11,protein_coding,not_nmd,0.262060855303657
ENST00000575709.3,ENSG00000129204.14,nonsense_mediated_decay,nonsense_mediated_decay,0.442664719487987
ENST00000252996.6,ENSG00000130699.14,protein_coding,not_nmd,0.0408799260576131
ENST00000559726.3,ENSG00000104043.12,nonsense_mediated_decay,nonsense_mediated_decay,0.756145172771685
ENST00000359786.7,ENSG00000197879.12,protein_coding,not_nmd,0.13339729852866
ENST00000332578.5,ENSG00000178297.10,protein_coding,not_nmd,0.0855803352538611
ENST00000285679.8,ENSG00000155313.13,protein_coding,not_nmd,0.343188762550095
ENST00000412318.3,ENSG00000206560.8,nonsense_mediated_decay,nonsense_mediated_decay,0.815303855702332
ENST00000338821.5,ENSG00000054793.11,protein_coding,not_nmd,0.0589013276095536
ENST00000281496.6,ENSG00000102763.13,protein_coding,not_nmd,0.0881698732972056
ENST00000356327.7,ENSG00000075651.13,protein_coding,not_nmd,0.0194926647814704
ENST00000264741.7,ENSG00000144668.9,protein_coding,not_nmd,0.0458921260701284
ENST00000367058.5,ENSG00000117322.14,protein_coding,not_nmd,0.397758912783539
ENST00000261180.6,ENSG00000072657.6,protein_coding,not_nmd,0.0239308685165066
ENST00000321489.7,ENSG00000157423.15,protein_coding,not_nmd,0.0882468019960039
ENST00000569482.3,ENSG00000140400.12,protein_coding,not_nmd,0.0847547830723993
ENST00000512970.3,ENSG00000137802.11,nonsense_mediated_decay,nonsense_mediated_decay,0.947491960880395
ENST00000357991.5,ENSG00000173698.15,protein_coding,not_nmd,0.0428534045576847
ENST00000600859.3,ENSG00000062822.10,nonsense_mediated_decay,nonsense_mediated_decay,0.86362179397571
ENST00000480058.3,ENSG00000112739.14,nonsense_mediated_decay,nonsense_mediated_decay,0.72361834645991
ENST00000558906.3,ENSG00000104043.12,nonsense_mediated_decay,nonsense_mediated_decay,0.893669523586137
ENST00000333990.8,ENSG00000125630.13,nonsense_mediated_decay,nonsense_mediated_decay,0.752690491939071
ENST00000528594.3,ENSG00000019144.14,nonsense_mediated_decay,nonsense_mediated_decay,0.945152163614477
ENST00000265384.9,ENSG00000119139.14,protein_coding,not_nmd,0.0185709155910528
ENST00000587525.3,ENSG00000141837.16,protein_coding,not_nmd,0.0434268371820315
ENST00000409851.5,ENSG00000040933.13,protein_coding,not_nmd,0.696985916637422
ENST00000620426.2,ENSG00000116580.16,protein_coding,not_nmd,0.951905651906762
ENST00000409090.1,ENSG00000169994.16,protein_coding,not_nmd,0.616767628112957
ENST00000373668.5,ENSG00000084636.15,protein_coding,not_nmd,0.384965996510466
ENST00000534964.4,ENSG00000047346.10,nonsense_mediated_decay,nonsense_mediated_decay,0.954407582960365
ENST00000476977.3,ENSG00000006704.8,protein_coding,not_nmd,0.604494665822492
ENST00000460849.3,ENSG00000187672.10,nonsense_mediated_decay,nonsense_mediated_decay,0.891499693853973
ENST00000563590.2,ENSG00000260220.3,nonsense_mediated_decay,nonsense_mediated_decay,0.892626259620737
ENST00000409210.1,ENSG00000180347.11,protein_coding,not_nmd,0.284229604298798
ENST00000366993.5,ENSG00000143493.10,protein_coding,not_nmd,0.0830842411514076
ENST00000481169.3,ENSG00000047457.11,nonsense_mediated_decay,nonsense_mediated_decay,0.827093671494242
ENST00000437498.1,ENSG00000136449.11,nonsense_mediated_decay,nonsense_mediated_decay,0.831098149628626
ENST00000560451.3,ENSG00000196547.12,nonsense_mediated_decay,nonsense_mediated_decay,0.955724479704531
ENST00000529504.3,ENSG00000140798.13,nonsense_mediated_decay,nonsense_mediated_decay,0.956888023499132
ENST00000573521.1,ENSG00000261934.2,protein_coding,not_nmd,0.0333646575531516
ENST00000522605.1,ENSG00000253910.2,protein_coding,not_nmd,0.0333646575531516
ENST00000308466.10,ENSG00000145113.19,nonsense_mediated_decay,nonsense_mediated_decay,0.696776921881501
ENST00000318010.10,ENSG00000214013.7,protein_coding,not_nmd,0.133550718788973
ENST00000507846.3,ENSG00000189184.9,protein_coding,not_nmd,0.303191498283229
ENST00000580356.3,ENSG00000178921.11,nonsense_mediated_decay,nonsense_mediated_decay,0.911847753821014
ENST00000378169.5,ENSG00000131697.15,nonsense_mediated_decay,nonsense_mediated_decay,0.963657035542168
ENST00000423302.4,ENSG00000072952.16,protein_coding,not_nmd,0.0687449305857794
ENST00000560155.3,ENSG00000196497.13,nonsense_mediated_decay,nonsense_mediated_decay,0.962505014637874
ENST00000472701.3,ENSG00000179603.15,nonsense_mediated_decay,nonsense_mediated_decay,0.968583918889913
ENST00000354340.6,ENSG00000062370.14,protein_coding,not_nmd,0.0131030611080295
ENST00000591448.3,ENSG00000126562.14,nonsense_mediated_decay,nonsense_mediated_decay,0.898071832163398
ENST00000272454.8,ENSG00000015568.10,protein_coding,not_nmd,0.320364049174735
ENST00000462592.3,ENSG00000099219.11,nonsense_mediated_decay,nonsense_mediated_decay,0.76196469411438
ENST00000392533.5,ENSG00000135090.11,protein_coding,not_nmd,0.28823708293392
ENST00000511496.3,ENSG00000064042.15,protein_coding,not_nmd,0.449871951519455
ENST00000234179.4,ENSG00000115825.7,protein_coding,not_nmd,0.137360012726637
ENST00000291906.4,ENSG00000160447.6,protein_coding,not_nmd,0.760063627865385
ENST00000420641.5,ENSG00000050820.14,protein_coding,not_nmd,0.0555512763431191
ENST00000260505.10,ENSG00000137941.14,protein_coding,not_nmd,0.170391835374337
ENST00000585892.3,ENSG00000079805.14,protein_coding,not_nmd,0.163183926311536
ENST00000399725.4,ENSG00000101773.14,protein_coding,not_nmd,0.709111865414798
ENST00000518929.3,ENSG00000154263.15,nonsense_mediated_decay,nonsense_mediated_decay,0.995191528075072
ENST00000461883.3,ENSG00000146966.10,nonsense_mediated_decay,nonsense_mediated_decay,0.933228333135344
ENST00000592685.3,ENSG00000065989.13,protein_coding,not_nmd,0.0750707775811474
ENST00000245255.5,ENSG00000125207.5,protein_coding,not_nmd,0.322315240513187
ENST00000598240.1,ENSG00000064607.14,nonsense_mediated_decay,nonsense_mediated_decay,0.173705697679844
ENST00000598697.3,ENSG00000130529.13,nonsense_mediated_decay,nonsense_mediated_decay,0.469332534764546
ENST00000475805.3,ENSG00000106976.16,protein_coding,not_nmd,0.272110055445023
